ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,C:\Windows\System32\msdtc.exe,2019-12-07 09:09:37,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,1,C:\Program Files\Common Files\VMware\Drivers\vss\comreg.exe,2021-08-31 08:04:08,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,2,C:\Program Files\VMware\VMware Tools\VMwareResolutionSet.exe,2021-08-31 08:00:26,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,3,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe,2021-08-31 08:00:32,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,4,C:\Windows\system32\vm3dservice.exe,2021-08-31 08:04:22,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,5,C:\Windows\syswow64\WOWReg32.exe,2021-09-13 07:08:41,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,6,C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe,2021-08-31 07:43:46,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,7,C:\Windows\syswow64\MsiExec.exe,2019-12-07 09:10:02,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,8,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\Application,2022-03-05 13:09:32,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,9,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Application,2022-03-05 13:09:30,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,10,C:\Windows\System32\RuntimeBroker.exe,2021-09-13 07:07:49,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,11,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\Application,2022-03-05 13:09:31,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,12,00000009	0001000763bb0000	000a000027410000	8664	Microsoft.NET.Native.Framework.1.7	8wekyb3d8bbwe	,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,13,00000009	0001000763bb0000	000a000027410000	8664	Microsoft.NET.Native.Runtime.1.7	8wekyb3d8bbwe	,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
