Registry Key,Change Type,Value Name,Value Data,Value Type,Data Length,Value Data Changed To,Value Type Changed To,Data Length Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*PriorityVLANTag\Enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*ReceiveBuffers,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*RSS,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*RSS\Enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*SpeedDuplex,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*SpeedDuplex\enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*TCPChecksumOffloadIPv4,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*TCPChecksumOffloadIPv4\Enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*TCPChecksumOffloadIPv6,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*TCPChecksumOffloadIPv6\Enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*TransmitBuffers,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*UDPChecksumOffloadIPv4,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*UDPChecksumOffloadIPv4\Enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*UDPChecksumOffloadIPv6,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\*UDPChecksumOffloadIPv6\Enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\AdaptiveIFS,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\AdaptiveIFS\Enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\ITR,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\ITR\Enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\LogLinkStateEvent,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\LogLinkStateEvent\Enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\MasterSlave,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\MasterSlave\Enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\NetworkAddress,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\WaitAutoNegComplete,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\Ndi\Params\WaitAutoNegComplete\Enum,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\PROSetNdi,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\PROSetNdi\NdiExt,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\PROSetNdi\NdiExt\Params,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002\PROSetNdi\NdiExt\Params\*SpeedDuplex,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0003,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0003\Linkage,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0003\Ndi,Added Key,,,,,,,,,2021-12-25 00:39
