CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2022-05-28 02:37:48.8857488,C:\Users\Default\NTUSER.DAT,C:\temp\shellbags\tout\C\Users\Default\NTUSER.DAT,262144,0099F97052F1DFB459B23BBB7D4B6949F6DEB1B8,False,2019-12-07 09:03:44.5688762,2022-03-05 13:07:59.7669840,2022-03-05 13:09:27.0317131,00:00:00.0156106
2022-05-28 02:37:48.9641173,C:\Users\Default\NTUSER.DAT.LOG1,C:\temp\shellbags\tout\C\Users\Default\NTUSER.DAT.LOG1,32768,C9C386BE84509D69B3AB348E96A23CBD43CB6928,False,2019-12-07 09:03:44.6948907,2019-12-07 09:03:44.6948907,2022-03-05 13:20:48.1174128,00:00:00.0158592
2022-05-28 02:37:48.9952892,C:\Users\Default\NTUSER.DAT.LOG2,C:\temp\shellbags\tout\C\Users\Default\NTUSER.DAT.LOG2,20480,6E21153EC126E62894563F648DC99A5C34FEFC4E,False,2019-12-07 09:03:44.6948907,2019-12-07 09:03:44.6948907,2022-03-05 13:20:48.1174128,00:00:00.0151365
2022-05-28 02:37:49.2138963,C:\Users\CFUser\NTUSER.DAT,C:\temp\shellbags\tout\C\Users\CFUser\NTUSER.DAT,1048576,3529570095AA3B68CB3E60E71BA140AFC73215E1,True,2022-03-05 13:09:29.1412112,2022-03-05 13:09:59.7557313,2022-03-05 13:09:59.7557313,00:00:00
2022-05-28 02:37:49.2452983,C:\Users\CFUser\ntuser.dat.LOG1,C:\temp\shellbags\tout\C\Users\CFUser\ntuser.dat.LOG1,131072,880D81A880CCC634D0776A8BF61AA6EB92C140E8,True,2022-03-05 13:09:29.2033951,2022-03-05 13:09:29.2033951,2022-03-05 13:09:29.2033951,00:00:00
2022-05-28 02:37:49.2921383,C:\Users\CFUser\ntuser.dat.LOG2,C:\temp\shellbags\tout\C\Users\CFUser\ntuser.dat.LOG2,397312,A7FB9B8F06902A949FBFEDC51614FC6C969B1FE9,True,2022-03-05 13:09:29.2033951,2022-03-05 13:09:29.2033951,2022-03-05 13:09:29.2033951,00:00:00
2022-05-28 02:37:49.3546691,C:\Windows\System32\config\DEFAULT,C:\temp\shellbags\tout\C\Windows\System32\config\DEFAULT,524288,2B733C5124480C2BFC0099928A1535AEB52CA08F,True,2019-12-07 09:03:44.5688762,2022-03-05 13:10:05.6778275,2022-03-05 13:10:05.6778275,00:00:00
2022-05-28 02:37:49.3703888,C:\Windows\System32\config\DEFAULT.LOG1,C:\temp\shellbags\tout\C\Windows\System32\config\DEFAULT.LOG1,81920,D5216D3DE0BDD23A8B55A72D14185A72EF25BB48,True,2019-12-07 09:03:44.6786168,2019-12-07 09:03:44.6786168,2019-12-07 09:03:44.6786168,00:00:00
2022-05-28 02:37:49.4012298,C:\Windows\System32\config\DEFAULT.LOG2,C:\temp\shellbags\tout\C\Windows\System32\config\DEFAULT.LOG2,139264,5B5D7DCB4A81F8EB2AE707824DF9E2232AA9A5AD,True,2019-12-07 09:03:44.6786168,2019-12-07 09:03:44.6786168,2019-12-07 09:03:44.6786168,00:00:00
2022-05-28 02:37:49.7760656,C:\Users\CFUser\AppData\Local\Microsoft\Windows\UsrClass.dat,C:\temp\shellbags\tout\C\Users\CFUser\AppData\Local\Microsoft\Windows\UsrClass.dat,3407872,075C49E6C51A92DBFF0E369BE0020EC647EEEB75,True,2022-03-05 13:09:29.2354813,2022-03-05 13:09:59.7396579,2022-03-05 13:09:59.7396579,00:00:00.0153479
2022-05-28 02:37:49.8230051,C:\Users\CFUser\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1,C:\temp\shellbags\tout\C\Users\CFUser\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1,425984,A7D48B696CD94A480D57F6E9D61EA172EC871B30,True,2022-03-05 13:09:29.2354813,2022-03-05 13:09:29.2354813,2022-03-05 13:09:29.2354813,00:00:00
2022-05-28 02:37:49.9798376,C:\Users\CFUser\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2,C:\temp\shellbags\tout\C\Users\CFUser\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2,1175552,4B605B82237EBE2FCB3B633D6CE6F5F273071B81,True,2022-03-05 13:09:29.2354813,2022-03-05 13:09:29.2354813,2022-03-05 13:09:29.2354813,00:00:00
