"ActivityId","Platform","PackageName","ExpirationTime"
"Wyq4wwOODSNYCneJ5TUkDg==","data_boundary","microsoft.default.default","1864841497"
"Wyq4wwOODSNYCneJ5TUkDg==","host","","1864841497"
"nRc8dT1in9aFePvpV8g4xQ==","data_boundary","microsoft.default.input","1864841560"
"nRc8dT1in9aFePvpV8g4xQ==","host","","1864841560"
"3gtixhgUle3Eb6DdWP5kYA==","x_exe_path","d:\setup64.exe","1646681683"
"3gtixhgUle3Eb6DdWP5kYA==","host","","1646681683"
"ac7uoaRMY1y8mgFlUmi4MA==","x_exe_path","microsoft.windows.windowsinstaller","1646681688"
"ac7uoaRMY1y8mgFlUmi4MA==","host","","1646681688"
"8c5mafPFiCST6F42JWZ1yw==","x_exe_path","d:\setup64.exe","1646681806"
"8c5mafPFiCST6F42JWZ1yw==","packageid","d:\setup64.exe","1646681806"
"8c5mafPFiCST6F42JWZ1yw==","host","","1646681806"
"pySV6fflRHlNipoHV+P7Mw==","x_exe_path","d:\setup64.exe","1646681809"
"pySV6fflRHlNipoHV+P7Mw==","packageid","d:\setup64.exe","1646681809"
"pySV6fflRHlNipoHV+P7Mw==","host","","1646681809"
"49uMSljG7Ww3AI+utTVxPg==","x_exe_path","d:\setup64.exe","1646681821"
"49uMSljG7Ww3AI+utTVxPg==","packageid","d:\setup64.exe","1646681821"
"49uMSljG7Ww3AI+utTVxPg==","host","","1646681821"
"C5+Go7zo/cT7bzBbDEAmKA==","x_exe_path","*pid00000dbc","1646681829"
"C5+Go7zo/cT7bzBbDEAmKA==","host","","1646681829"
"vK19s9uSd54qSh3qbBCnqA==","x_exe_path","*pid00000dbc","1646681853"
"vK19s9uSd54qSh3qbBCnqA==","packageid","*pid00000dbc","1646681853"
"vK19s9uSd54qSh3qbBCnqA==","host","","1646681853"
"qAFt12Klj8NRZsHA4N+sUw==","windows_win32","{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\windowspowershell\v1.0\powershell.exe","1646681958"
"qAFt12Klj8NRZsHA4N+sUw==","windows_win32","{d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27}\windowspowershell\v1.0\powershell.exe","1646681958"
"qAFt12Klj8NRZsHA4N+sUw==","host","","1646681958"
"E4GhcZA4Hsbj2QxdkNMXCA==","windows_win32","{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\windowspowershell\v1.0\powershell.exe","1646681973"
"E4GhcZA4Hsbj2QxdkNMXCA==","windows_win32","{d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27}\windowspowershell\v1.0\powershell.exe","1646681973"
"E4GhcZA4Hsbj2QxdkNMXCA==","packageid","{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\windowspowershell\v1.0\powershell.exe","1646681973"
"E4GhcZA4Hsbj2QxdkNMXCA==","host","","1646681973"
"3q3CqSmVl1+owKyj0bHJQA==","x_exe_path","c:\users\andrewrathbun\desktop\kape.exe","1646681973"
"3q3CqSmVl1+owKyj0bHJQA==","host","","1646681973"
